Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
16390.0,-122.289521270078,47.54954452510683,1.0,0.0,
32776.0,-122.267140517751,47.5382325796927,1.0,0.0,
24588.0,-122.293368797035,47.5337377414616,4.0,96528.0,11.477588400680544
24589.0,-122.29391833819466,47.53374105827867,1.0,0.0,
16412.0,-122.293737409616,47.5480819066236,4.0,96528.0,11.477588400680544
16415.0,-122.275043472339,47.527928448149474,1.0,0.0,
8232.0,-122.270992194441,47.54914092906626,1.0,0.0,
48.0,-122.280866489262,47.5518888637165,3.0,195042.4380952372,12.180972445125263
16435.0,-122.29585718774337,47.54841859788206,1.0,0.0,
24632.0,-122.298626501823,47.5341588908149,3.0,1091874.0,13.903406044014286
16442.0,-122.274440433889,47.564162948426,4.0,257338.0,12.458145674889398
16443.0,-122.27399357614934,47.5641570068069,1.0,0.0,
24635.0,-122.269893161104,47.5407527035903,3.0,128694.0,11.76519277245085
8254.0,-122.269967698924,47.5129664491464,3.0,192326.00000000084,12.166947127845665
32831.0,-122.272324063392,47.5223671706198,1.0,0.0,
85.0,-122.259262193075,47.51684193887,3.0,193018.0,12.170538727786887
32854.0,-122.31504006256,47.5602064452481,1.0,0.0,
32856.0,-122.275336796781,47.5237691985202,1.0,0.0,
91.0,-122.267681994924,47.5460980020708,3.0,128694.0,11.76519277245085
16478.0,-122.270850016802,47.5316181342638,3.0,74914.66666666673,11.22410496698015
96.0,-122.316693892936,47.5634545566124,4.0,1060374.0,13.874132234046995
16488.0,-122.2652605406214,47.53694285600672,3.0,128694.0,11.76519277245085
105.0,-122.253299645756,47.5053026523204,3.0,954911.9999999988,13.76937446862025
32879.0,-122.279549312212,47.5357950174345,1.0,0.0,
24693.0,-122.270597474607,47.5573173965528,1.0,0.0,
16526.0,-122.304049458679,47.556226107738006,3.0,64354.0,11.072154371154577
8339.0,-122.273094124187,47.557028566369205,3.0,257326.0,12.458099042523418
8340.0,-122.272553532377,47.5570297006332,3.0,385926.0,12.863400920223727
16536.0,-122.278064182545,47.5295338054056,3.0,193018.0,12.170538727786887
16537.0,-122.27753288343,47.5295109909143,3.0,128694.0,11.76519277245085
152.0,-122.283368166675,47.54381955957481,3.0,1467022.4999999995,14.198745394430814
8358.0,-122.31495791108,47.5616579910336,3.0,642838.0,13.37364802746409
170.0,-122.2813983322552,47.53779879726852,1.0,0.0,
24758.0,-122.272030877613,47.56375633210214,1.0,0.0,
16574.0,-122.26571792734,47.55947079878771,3.0,64354.0,11.072154371154577
195.0,-122.262729934199,47.5201110913641,1.0,0.0,
8390.0,-122.268075918759,47.5556010787667,3.0,1220282.0,14.014592537539945
8392.0,-122.26217024190198,47.510007295424536,1.0,0.0,
24779.0,-122.2657271172,47.5598698404578,1.0,0.0,
32976.0,-122.264737484198,47.5242051371266,1.0,0.0,
16592.0,-122.265894748145,47.55448206530897,1.0,0.0,
211.0,-122.267084741456,47.5425028176665,4.0,353800.0,12.776487060707822
16597.0,-122.269856942242,47.55602089588663,1.0,0.0,
225.0,-122.306430264421,47.54102204699981,3.0,771214.0,13.55572117564067
235.0,-122.275316494772,47.5512434675241,3.0,385926.0,12.863400920223727
239.0,-122.26710778645368,47.54365897465623,1.0,0.0,
16631.0,-122.306647769977,47.546049435485,1.0,0.0,
8449.0,-122.264635242625,47.52315016196061,3.0,193018.0,12.170538727786887
16642.0,-122.26044940572,47.516853554301,3.0,321642.0,12.681194404774827
16646.0,-122.284104317143,47.55126252782319,1.0,0.0,
268.0,-122.279513847058,47.5569954992935,3.0,321618.0,12.681119784869932
8463.0,-122.273187785353,47.5629836881001,4.0,160864.0,11.988314566492301
24849.0,-122.277596446599,47.5553352227687,1.0,0.0,
8473.0,-122.264230339548,47.5133639202077,1.0,0.0,
16670.0,-122.29459852981,47.53765453033301,3.0,165230.66666666645,12.015097756416697
288.0,-122.267341024162,47.5354996033154,3.0,1433590.3333333344,14.175692578248523
24870.0,-122.303432168115,47.5538384266668,1.0,0.0,
295.0,-122.283556086548,47.5358993362398,1.0,0.0,
16687.0,-122.266207811759,47.53694813484998,3.0,321618.0,12.681119784869932
33080.0,-122.279460160373,47.5212888326664,1.0,0.0,
24909.0,-122.257011831642,47.51638089393297,1.0,0.0,
16722.0,-122.26194235417702,47.553362664582565,3.0,418026.0,12.943298910529432
8536.0,-122.278144440655,47.5232488712951,3.0,963658.0,13.778491738862053
8537.0,-122.27842587156766,47.52323474833143,1.0,0.0,
350.0,-122.25467667716698,47.50657842355989,3.0,292456.6666666667,12.58607178653088
33128.0,-122.31358380055866,47.56905590709746,1.0,0.0,
16749.0,-122.262207014785,47.5121095905891,1.0,0.0,
33143.0,-122.280011334979,47.529254190390425,1.0,0.0,
16765.0,-122.31417970726,47.56096285594276,1.0,0.0,
24962.0,-122.27178952347032,47.5285368914032,1.0,0.0,
387.0,-122.277617410654,47.5570032932771,3.0,193018.0,12.170538727786887
24972.0,-122.267960726486,47.5274156675039,3.0,64354.0,11.072154371154577
397.0,-122.26826698233,47.5379223016486,3.0,64354.0,11.072154371154577
24973.0,-122.266802601292,47.5270808646593,1.0,0.0,
16785.0,-122.302235030213,47.5487448024202,3.0,64354.0,11.072154371154577
402.0,-122.31422558609,47.5634618190463,3.0,1316246.0,14.090294303489333
16788.0,-122.26986872921934,47.55458361165657,1.0,0.0,
33173.0,-122.280635042394,47.5369499947085,3.0,5064712.333333332,15.437807899053668
414.0,-122.275322190003,47.5518469090004,3.0,514446.0,13.150845872479724
16798.0,-122.269962746535,47.5491445293178,3.0,193018.0,12.170538727786887
16799.0,-122.269958537091,47.5488177069225,3.0,128694.0,11.76519277245085
16802.0,-122.265167660638,47.5197655746971,3.0,707226.0,13.469105554335648
24995.0,-122.274471420971,47.5279423024454,4.0,289488.0,12.575869124358878
24999.0,-122.2887342145236,47.547592786714105,3.0,64354.0,11.072154371154577
25002.0,-122.27467124559132,47.5451212236097,1.0,0.0,
25007.0,-122.28588880443156,47.54628990702522,3.0,132198.3333333332,11.792058599159384
